======================================================================
IPTV 酒店源流量测试报告 (2026-04-02 21:26:43)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
----------------------------------------------------------------------
1.24.39.180:808           | 凉城频道                 | 5.5    Mbps | 80%
1.24.39.180:808           | 黑龙江卫视                | 8.68   Mbps | 88%
1.24.39.180:808           | CCTV5体育              | 8.4    Mbps | 78%
1.25.139.206:9901         | 黑龙江卫视                | 3.45   Mbps | 9%
1.31.14.70:54321          | CCTV8电视剧             | 1.41   Mbps | 100%
1.31.14.70:54321          | 山东卫视                 | 1.12   Mbps | 100%
1.31.14.70:54321          | BNTV1                | 1.62   Mbps | 100%
101.18.30.205:808         | 中学生                  | 0.81   Mbps | 75%
101.18.30.205:808         | 天津卫视                 | 0.58   Mbps | 100%
101.18.30.205:808         | 东方卫视                 | 0.68   Mbps | 100%
101.95.21.250:10081       | 重庆卫视                 | 0.33   Mbps | 100%
101.95.21.250:10081       | 江苏卫视                 | 0.61   Mbps | 100%
101.95.21.250:10081       | CCTV1                | 0.41   Mbps | 100%
106.115.24.186:9901       | 北京卫视                 | 5.4    Mbps | 0%
106.44.226.206:88         | CCTV1                | 7.65   Mbps | 0%
106.44.226.206:88         | 浙江卫视                 | 5.98   Mbps | 97%
106.44.226.206:88         | CCTV6电影              | 6.13   Mbps | 0%
106.46.169.202:9000       | 江西卫视                 | 0.94   Mbps | 100%
106.46.169.202:9000       | CCTV3                | 2.98   Mbps | 100%
106.46.169.202:9000       | 深圳卫视                 | 1.61   Mbps | 100%
110.53.218.182:9002       | CCTV12社会与法           | 0.07   Mbps | 100%
110.53.218.182:9002       | 河北卫视                 | 0.04   Mbps | 100%
110.53.218.182:9002       | CCTV10科教             | 0.04   Mbps | 100%
111.14.186.11:5009        | 河北卫视                 | 9.18   Mbps | 90%
111.14.186.11:5009        | 湖南卫视                 | 9.12   Mbps | 70%
111.14.186.11:5009        | 山东农科                 | 9.61   Mbps | 0%
111.14.222.117:3333       | CCTV2财经              | 10.26  Mbps | 0%
111.14.222.117:3333       | 山东农科                 | 10.67  Mbps | 76%
111.14.222.117:3333       | 济南生活                 | 3.75   Mbps | 18%
111.221.137.199:44330     | CCTV1综合              | 0.15   Mbps | 0%
111.221.137.199:44330     | 深圳卫视                 | 0.12   Mbps | 0%
111.221.137.199:44330     | CCTV13新闻             | 0.18   Mbps | 81%
112.123.243.37:50085      | CCTV15               | 9.28   Mbps | 24%
112.123.243.37:50085      | CCTV14               | 2.03   Mbps | 100%
112.123.243.37:50085      | 新疆卫视                 | 1.72   Mbps | 35%
112.237.16.225:7001       | CCTV7国防军事            | 9.24   Mbps | 89%
112.237.16.225:7001       | 天津卫视                 | 6.41   Mbps | 0%
112.237.16.225:7001       | CCTV14少儿             | 6.84   Mbps | 25%
112.255.253.148:9001      | CCTV9                | 1.62   Mbps | 100%
112.255.253.148:9001      | CCTV12               | 1.02   Mbps | 100%
112.255.253.148:9001      | 少儿动画                 | 2.26   Mbps | 100%
112.27.235.94:8000        | CCTV15               | 1.19   Mbps | 100%
112.27.235.94:8000        | 广东卫视                 | 0.64   Mbps | 100%
112.27.235.94:8000        | CCTV5                | 1.96   Mbps | 100%
112.99.195.122:65000      | 四川卫视                 | 2.09   Mbps | 30%
112.99.195.122:65000      | 黑龙江文体                | 2.14   Mbps | 67%
112.99.195.122:65000      | 江苏卫视                 | 1.41   Mbps | 95%
113.141.220.55:9901       | 陕西卫视                 | 4.11   Mbps | 76%
113.141.220.55:9901       | CCTV14少儿             | 5.27   Mbps | 91%
113.141.220.55:9901       | 青海卫视                 | 2.03   Mbps | 0%
113.15.109.216:59901      | CCTV6电影              | 5.95   Mbps | 18%
113.15.109.216:59901      | CCTV14少儿             | 5.17   Mbps | 64%
113.15.109.216:59901      | CCTV11戏曲             | 4.26   Mbps | 4%
113.200.114.168:20000     | 青海卫视                 | 3.81   Mbps | 0%
113.200.114.168:20000     | CCTV13               | 3.3    Mbps | 5%
113.200.114.168:20000     | CCTV12               | 3.77   Mbps | 7%
113.25.252.226:9901       | 山东卫视                 | 3.5    Mbps | 34%
113.25.252.226:9901       | BTV卡酷                | 1.06   Mbps | 0%
113.25.252.226:9901       | 经典电影                 | 1.99   Mbps | 0%
113.57.20.185:1111        | CCTV12社会与法           | 0.03   Mbps | 100%
113.88.211.62:9898        | 兵团卫视                 | 2.91   Mbps | 75%
113.88.211.62:9898        | TVS1广东经济科教           | 3.41   Mbps | 1%
113.88.211.62:9898        | CCTV6                | 8.61   Mbps | 0%
114.252.114.191:8899      | CCTV13新闻             | 9.23   Mbps | 97%
114.252.114.191:8899      | 安徽卫视                 | 5.9    Mbps | 90%
114.252.114.191:8899      | 浙江卫视                 | 9.53   Mbps | 95%
114.252.121.120:8899      | 天津卫视                 | 9.39   Mbps | 95%
114.252.121.120:8899      | CCTV14少儿             | 6.77   Mbps | 0%
114.252.121.120:8899      | CCTV7国防军事            | 9.21   Mbps | 95%
115.150.63.77:9902        | 中国教育                 | 1.19   Mbps | 0%
115.150.63.77:9902        | 风云足球                 | 1.29   Mbps | 100%
116.228.170.214:888       | 宁夏卫视                 | 0.36   Mbps | 100%
116.228.170.214:888       | CCTV12社会与法           | 0.24   Mbps | 100%
116.228.170.214:888       | CCTV9纪录              | 0.19   Mbps | 100%
119.166.226.162:8082      | CCTV9                | 6.65   Mbps | 2%
119.166.226.162:8082      | 东方卫视                 | 3.26   Mbps | 38%
119.166.226.162:8082      | QTV1                 | 2.35   Mbps | 0%
119.166.230.171:8082      | 重庆卫视                 | 6.31   Mbps | 0%
119.166.230.171:8082      | 江苏卫视                 | 2.03   Mbps | 100%
119.166.230.171:8082      | CCTV10               | 4.71   Mbps | 0%
119.36.6.89:1111          | 金鹰纪实                 | 0.99   Mbps | 100%
119.36.6.89:1111          | 第一剧场                 | 0.81   Mbps | 100%
119.36.6.89:1111          | CCTV2                | 1.68   Mbps | 100%
119.39.9.8:9901           | 贵州卫视                 | 4.22   Mbps | 8%
119.39.9.8:9901           | 重庆卫视                 | 4.38   Mbps | 41%
119.39.9.8:9901           | CCTV5体育              | 4.09   Mbps | 33%
120.196.235.42:9901       | 梅州2                  | 0.22   Mbps | 100%
120.196.235.42:9901       | 炫动卡通                 | 0.2    Mbps | 100%
120.196.235.42:9901       | 嘉佳卡通                 | 0.33   Mbps | 100%
120.198.95.220:9901       | 云南卫视                 | 3.25   Mbps | 32%
120.198.95.220:9901       | 贵州卫视                 | 3.24   Mbps | 9%
120.198.95.220:9901       | 河南卫视                 | 3.8    Mbps | 0%
120.202.94.181:9446       | CCTV10科教             | 2.11   Mbps | 100%
120.202.94.181:9446       | CCTV1综合              | 6.19   Mbps | 0%
120.202.94.181:9446       | CCTV14少儿             | 1.82   Mbps | 100%
120.209.208.163:5080      | Q亳州新闻                | 4.67   Mbps | 5%
120.209.208.163:5080      | Q亳州农村                | 5.9    Mbps | 0%
120.224.84.170:8085       | 湖南卫视                 | 9.9    Mbps | 22%
120.224.84.170:8085       | QTV1                 | 2.21   Mbps | 0%
120.224.84.170:8085       | CCTV5+               | 10.33  Mbps | 39%
120.27.63.14:30006        | 天津卫视                 | 0.36   Mbps | 100%
120.27.63.14:30006        | 广东卫视                 | 0.34   Mbps | 100%
121.19.134.146:808        | 四海垂钓                 | 0.08   Mbps | 100%
122.114.131.154:4000      | CCTV10               | 0.99   Mbps | 100%
122.114.131.154:4000      | CCTV3综艺              | 0.91   Mbps | 100%
122.114.131.154:4000      | CCTV3                | 1.04   Mbps | 100%
122.114.131.154:4001      | 深圳卫视                 | 0.3    Mbps | 100%
122.114.131.154:4001      | CCTV12               | 0.28   Mbps | 100%
122.114.131.154:4001      | CCTV10科教             | 0.23   Mbps | 100%
122.114.131.154:4007      | 辽宁卫视                 | 0.8    Mbps | 100%
122.114.131.154:4007      | CCTV10科教             | 0.94   Mbps | 100%
122.114.131.154:4007      | CCTV15               | 0.94   Mbps | 100%
122.114.131.154:4018      | CCTV2财经              | 0.67   Mbps | 100%
122.114.131.154:4018      | 天津卫视                 | 0.55   Mbps | 100%
122.114.131.154:4018      | CCTV14               | 0.47   Mbps | 100%
122.114.131.154:4021      | CCTV6电影              | 0.81   Mbps | 100%
122.114.131.154:4021      | CCTV7国防军事            | 0.79   Mbps | 100%
122.114.131.154:4021      | 东南卫视                 | 0.75   Mbps | 100%
122.114.131.154:4103      | 河北经济                 | 0.96   Mbps | 100%
122.114.131.154:4103      | CCTV8电视剧             | 0.57   Mbps | 100%
122.114.131.154:4103      | 农民频道                 | 0.57   Mbps | 100%
122.226.23.150:8888       | CCTV3                | 7.97   Mbps | 0%
122.226.23.150:8888       | CCTV8电视剧             | 8.59   Mbps | 0%
122.226.23.150:8888       | CCTV8                | 8.57   Mbps | 0%
123.129.70.178:9901       | 北京卫视                 | 0.92   Mbps | 100%
123.13.245.230:9901       | 湖北卫视                 | 7.94   Mbps | 0%
123.13.245.230:9901       | 江苏卫视                 | 7.88   Mbps | 0%
123.13.245.230:9901       | CCTV14少儿             | 7.99   Mbps | 0%
123.130.84.106:8154       | 陕西卫视                 | 0.09   Mbps | 100%
123.130.84.106:8154       | CCTV1综合              | 0.05   Mbps | 100%
123.130.84.106:8154       | 东南卫视                 | 0.12   Mbps | 100%
123.14.89.116:8888        | 深圳卫视                 | 9.42   Mbps | 0%
123.14.89.116:8888        | CCTV3                | 9.28   Mbps | 0%
124.228.160.14:9901       | 湖南电影                 | 0.47   Mbps | 100%
124.228.160.14:9901       | CCTV11戏曲             | 0.37   Mbps | 100%
124.228.160.14:9901       | CCTV9纪录              | 0.35   Mbps | 100%
124.88.238.50:81          | CCTV2财经              | 5.96   Mbps | 0%
124.88.238.50:81          | CCTV11戏曲             | 5.78   Mbps | 0%
