上海频道,#genre#
哈哈炫动,http://39.164.138.145:8899/hls/67/index.m3u8
都市剧场,http://111.14.222.117:3333/hls/65/index.m3u8
哈哈炫动,http://39.164.138.145:9003/hls/67/index.m3u8
新闻综合,http://116.228.170.214:888/hls/18/index.m3u8
都市剧场,http://116.228.170.214:888/hls/22/index.m3u8
动漫秀场,http://116.228.170.214:888/hls/21/index.m3u8
上海都市,http://101.95.21.250:10081/hls/47/index.m3u8
第一财经,http://180.165.12.42:50001/tsfile/live/0001_43.m3u8?key=txiptv&playlive=1&authid=0
东方影视,http://180.173.154.233:7777/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
上海都市,http://180.165.12.42:50001/tsfile/live/0001_18.m3u8?key=txiptv&playlive=1&authid=0
新闻综合,http://180.165.12.42:50001/tsfile/live/0001_17.m3u8?key=txiptv&playlive=1&authid=0
全纪实,http://60.16.0.36:5757/hls/45/index.m3u8
新闻综合,http://180.173.154.233:7777/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
动漫秀场,http://60.16.0.36:5757/hls/53/index.m3u8
生活时尚,http://60.16.0.36:5757/hls/63/index.m3u8
都市剧场,http://60.16.0.36:5757/hls/41/index.m3u8
第一财经,http://180.173.154.233:7777/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
东方财经,http://180.173.154.233:7777/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
纪实人文,http://180.173.154.233:7777/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
法治天地,http://180.173.154.233:7777/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
第一财经,http://101.95.21.250:10081/hls/44/index.m3u8
新闻综合,http://101.95.21.250:10081/hls/45/index.m3u8
新闻综合,http://1.31.14.70:54321/hls/50/index.m3u8
新闻综合,http://61.185.200.206:9904/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
法治天地,http://222.214.208.34:59901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
都市剧场,http://115.150.63.77:9902/tsfile/live/0001_46.m3u8?key=txiptv&playlive=1&authid=0
纪实人文,http://122.114.131.154:4021/hls/63/index.m3u8
都市剧场,http://180.165.12.42:50001/tsfile/live/0001_28.m3u8?key=txiptv&playlive=1&authid=0
生活时尚,http://115.150.63.77:9902/tsfile/live/0001_45.m3u8?key=txiptv&playlive=1&authid=0
东方影视,http://180.165.12.42:50001/tsfile/live/0001_19.m3u8?key=txiptv&playlive=1&authid=0
新闻综合,http://111.120.8.205:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
上海纪实,http://120.196.235.42:9901/tsfile/live/1067_1.m3u8?key=txiptv&playlive=1&authid=0
全纪实,http://115.150.63.77:9902/tsfile/live/0001_44.m3u8?key=txiptv&playlive=1&authid=0
动漫秀场,http://171.127.97.162:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
