卫视频道,#genre#
湖北卫视,http://223.95.198.3:8000/hls/32/index.m3u8
黑龙江卫视,http://223.95.198.3:8000/hls/33/index.m3u8
安徽卫视,http://223.95.198.3:8000/hls/30/index.m3u8
湖南卫视,http://223.95.198.3:8000/hls/25/index.m3u8
江西卫视,http://223.95.198.3:8000/hls/40/index.m3u8
天津卫视,http://223.95.198.3:8000/hls/26/index.m3u8
四川卫视,http://112.27.235.94:8000/hls/35/index.m3u8
青海卫视,http://223.95.198.3:8000/hls/47/index.m3u8
重温经典,http://112.27.235.94:8000/hls/50/index.m3u8
广东卫视,http://112.27.235.94:8000/hls/30/index.m3u8
云南卫视,http://223.95.198.3:8000/hls/45/index.m3u8
江西卫视,http://112.27.235.94:8000/hls/44/index.m3u8
天津卫视,http://112.27.235.94:8000/hls/42/index.m3u8
北京卫视,http://112.27.235.94:8000/hls/27/index.m3u8
湖南卫视,http://112.27.235.94:8000/hls/31/index.m3u8
云南卫视,http://223.95.198.3:8000/hls/44/index.m3u8
深圳卫视,http://112.27.235.94:8000/hls/33/index.m3u8
黑龙江卫视,http://112.27.235.94:8000/hls/48/index.m3u8
重庆卫视,http://112.27.235.94:8000/hls/36/index.m3u8
海南卫视,http://223.95.198.3:8000/hls/41/index.m3u8
山西卫视,http://112.27.235.94:8000/hls/45/index.m3u8
辽宁卫视,http://223.95.198.3:8000/hls/34/index.m3u8
山东卫视,http://223.95.198.3:8000/hls/29/index.m3u8
广西卫视,http://223.95.198.3:8000/hls/39/index.m3u8
广东卫视,http://223.95.198.3:8000/hls/38/index.m3u8
内蒙古卫视,http://112.27.235.94:8000/hls/49/index.m3u8
甘肃卫视,http://223.95.198.3:8000/hls/42/index.m3u8
江苏卫视,http://223.95.198.3:8000/hls/28/index.m3u8
吉林卫视,http://223.95.198.3:8000/hls/35/index.m3u8
东南卫视,http://111.14.222.117:3333/hls/25/index.m3u8
北京卫视,http://111.14.222.117:3333/hls/22/index.m3u8
云南卫视,http://112.27.235.94:8000/hls/40/index.m3u8
东南卫视,http://112.27.235.94:8000/hls/38/index.m3u8
陕西卫视,http://112.27.235.94:8000/hls/43/index.m3u8
天津卫视,http://111.14.222.117:3333/hls/38/index.m3u8
贵州卫视,http://111.14.222.117:3333/hls/29/index.m3u8
青海卫视,http://111.14.222.117:3333/hls/50/index.m3u8
陕西卫视,http://223.95.198.3:8000/hls/43/index.m3u8
山东卫视,http://111.14.222.117:3333/hls/16/index.m3u8
浙江卫视,http://120.224.84.170:8085/hls/13/index.m3u8
重庆卫视,http://111.14.222.117:3333/hls/39/index.m3u8
东南卫视,http://111.14.186.11:5009/hls/31/index.m3u8
陕西卫视,http://111.14.186.11:5009/hls/45/index.m3u8
四川卫视,http://111.14.222.117:3333/hls/49/index.m3u8
四川卫视,http://111.14.186.11:5009/hls/40/index.m3u8
山东卫视,http://111.14.186.11:5009/hls/17/index.m3u8
江苏卫视,http://120.224.84.170:8085/hls/15/index.m3u8
湖北卫视,http://39.164.138.145:8899/hls/49/index.m3u8
东方卫视,http://112.27.235.94:8000/hls/28/index.m3u8
湖北卫视,http://111.14.186.11:5009/hls/33/index.m3u8
辽宁卫视,http://112.27.235.94:8000/hls/47/index.m3u8
河南卫视,http://111.14.186.11:5009/hls/42/index.m3u8
吉林卫视,http://111.14.222.117:3333/hls/33/index.m3u8
东方卫视,http://111.14.186.11:5009/hls/27/index.m3u8
江苏卫视,http://112.27.235.94:8000/hls/32/index.m3u8
湖北卫视,http://112.27.235.94:8000/hls/41/index.m3u8
山东卫视,http://120.224.84.170:8085/hls/8/index.m3u8
浙江卫视,http://111.14.186.11:5009/hls/26/index.m3u8
黑龙江卫视,http://111.14.186.11:5009/hls/35/index.m3u8
四川卫视,http://223.95.198.3:8000/hls/37/index.m3u8
广西卫视,http://39.164.138.145:9003/hls/57/index.m3u8
河南卫视,http://120.224.84.170:8085/hls/17/index.m3u8
北京卫视,http://120.224.84.170:8085/hls/16/index.m3u8
辽宁卫视,http://111.14.186.11:5009/hls/30/index.m3u8
重庆卫视,http://111.14.186.11:5009/hls/36/index.m3u8
广东卫视,http://111.14.186.11:5009/hls/34/index.m3u8
广西卫视,http://111.14.186.11:5009/hls/43/index.m3u8
河北卫视,http://111.14.186.11:5009/hls/39/index.m3u8
北京卫视,http://39.164.138.145:8899/hls/36/index.m3u8
安徽卫视,http://39.164.164.132:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://39.164.138.145:9003/hls/55/index.m3u8
广西卫视,http://111.14.222.117:3333/hls/28/index.m3u8
江苏卫视,http://111.14.186.11:5009/hls/28/index.m3u8
浙江卫视,http://39.164.138.145:9003/hls/33/index.m3u8
山西卫视,http://39.164.138.145:8899/hls/58/index.m3u8
河北卫视,http://223.95.198.3:8000/hls/27/index.m3u8
海南卫视,http://111.14.222.117:3333/hls/30/index.m3u8
东南卫视,http://39.164.138.145:8899/hls/55/index.m3u8
东方卫视,http://120.224.84.170:8085/hls/14/index.m3u8
深圳卫视,http://39.164.138.145:8899/hls/47/index.m3u8
新疆卫视,http://39.164.138.145:9003/hls/68/index.m3u8
吉林卫视,http://111.14.186.11:5009/hls/44/index.m3u8
贵州卫视,http://111.14.186.11:5009/hls/37/index.m3u8
黑龙江卫视,http://39.164.138.145:9003/hls/38/index.m3u8
重庆卫视,http://39.164.138.145:9003/hls/52/index.m3u8
湖北卫视,http://111.14.222.117:3333/hls/36/index.m3u8
江苏卫视,http://39.164.138.145:8899/hls/35/index.m3u8
西藏卫视,http://111.14.222.117:3333/hls/51/index.m3u8
浙江卫视,http://111.14.222.117:3333/hls/41/index.m3u8
广东卫视,http://111.14.222.117:3333/hls/27/index.m3u8
四川卫视,http://39.164.138.145:8899/hls/48/index.m3u8
青海卫视,http://39.164.138.145:8899/hls/61/index.m3u8
广西卫视,http://39.164.138.145:8899/hls/57/index.m3u8
山东卫视,http://39.164.138.145:8899/hls/39/index.m3u8
西藏卫视,http://39.164.138.145:8899/hls/65/index.m3u8
江西卫视,http://111.14.222.117:3333/hls/34/index.m3u8
安徽卫视,http://39.164.138.145:8899/hls/40/index.m3u8
山西卫视,http://39.164.138.145:9003/hls/58/index.m3u8
内蒙古卫视,http://111.14.222.117:3333/hls/46/index.m3u8
江西卫视,http://39.164.138.145:8899/hls/45/index.m3u8
湖南卫视,http://111.14.222.117:3333/hls/40/index.m3u8
云南卫视,http://111.14.222.117:3333/hls/44/index.m3u8
广东卫视,http://39.164.138.145:9003/hls/37/index.m3u8
青海卫视,http://39.164.164.132:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=0&authid=0
山西卫视,http://111.14.186.11:5009/hls/41/index.m3u8
安徽卫视,http://111.14.186.11:5009/hls/29/index.m3u8
北京卫视,http://39.164.138.145:9003/hls/36/index.m3u8
内蒙古卫视,http://39.164.138.145:8899/hls/56/index.m3u8
广西卫视,http://39.164.164.132:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://39.164.138.145:8899/hls/19/index.m3u8
广东卫视,http://39.164.138.145:8899/hls/37/index.m3u8
云南卫视,http://39.164.138.145:9003/hls/51/index.m3u8
广东卫视,http://39.164.164.132:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=0&authid=0
宁夏卫视,http://39.164.138.145:8899/hls/54/index.m3u8
海南卫视,http://39.164.138.145:8899/hls/59/index.m3u8
湖南卫视,http://120.224.84.170:8085/hls/12/index.m3u8
辽宁卫视,http://39.164.138.145:9003/hls/41/index.m3u8
河北卫视,http://39.164.138.145:9003/hls/44/index.m3u8
甘肃卫视,http://39.164.138.145:9003/hls/60/index.m3u8
贵州卫视,http://39.164.138.145:9003/hls/43/index.m3u8
内蒙古卫视,http://39.164.138.145:9003/hls/56/index.m3u8
辽宁卫视,http://39.164.138.145:8899/hls/41/index.m3u8
甘肃卫视,http://39.164.138.145:8899/hls/60/index.m3u8
