广东频道,#genre#
汕头综合,http://27.41.245.102:808/hls/1/index.m3u8
汕头经济生活,http://27.41.245.102:808/hls/2/index.m3u8
汕头经济生活,http://27.41.244.244:808/hls/2/index.m3u8
广东珠江,http://218.13.170.98:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
汕头综合,http://27.41.244.244:808/hls/1/index.m3u8
河源综合,http://120.196.235.42:9901/tsfile/live/1100_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://219.137.203.102:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
广州综合,http://120.196.235.42:9901/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://219.137.203.226:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
江门综合,http://120.196.235.42:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://120.196.235.42:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
河源公共,http://120.196.235.42:9901/tsfile/live/1101_1.m3u8?key=txiptv&playlive=1&authid=0
云浮综合,http://120.196.235.42:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://120.196.235.42:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
深圳少儿,http://120.198.95.220:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&down=1
广东珠江,http://120.198.95.220:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&down=1
广东新闻,http://183.237.71.182:40000/hls/65/index.m3u8
广东珠江,http://219.137.203.102:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://183.237.71.182:40000/hls/64/index.m3u8
广东新闻,http://219.137.203.226:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://120.198.95.220:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&down=1
广东新闻,http://111.221.137.234:44330/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
