影视轮播频道,#genre#
安徽影视,http://112.27.235.94:8000/hls/24/index.m3u8
家庭影院,http://111.14.222.117:3333/hls/53/index.m3u8
湖北影视,http://120.202.94.181:9446/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
哈尔滨影视,http://111.43.126.240:7777/hls/5/index.m3u8
黑龙江影视,http://111.43.126.240:7777/hls/7/index.m3u8
湖南电影,http://119.39.198.50:808/hls/25/index.m3u8
湖南电影,http://119.39.198.130:808/hls/25/index.m3u8
湖南电影,http://42.49.176.207:808/hls/22/index.m3u8
湖南电视剧,http://42.49.176.207:808/hls/21/index.m3u8
安徽影视,http://112.132.10.54:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
精彩影视,http://144.52.161.141:9901/tsfile/live/1074_1.m3u8?key=txiptv&playlive=1&authid=0
CHC电影,http://60.16.0.36:5757/hls/39/index.m3u8
精彩影视,http://60.16.0.36:5757/hls/38/index.m3u8
湖南电影,http://124.228.160.14:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CHC电影,http://115.150.63.77:9902/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,http://113.25.252.226:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
精彩影视,http://115.150.63.77:9902/tsfile/live/0001_39.m3u8?key=txiptv&playlive=1&authid=0
湖南电影,http://218.77.62.245:10999/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
安徽影视,http://39.105.190.112:8009/hls/20/index.m3u8
辽宁影视剧,http://182.207.218.109:999/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
家庭影院,http://39.105.190.112:8009/hls/57/index.m3u8
经典电影,http://222.214.208.34:59901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,http://120.196.235.42:9901/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0
湖北影视,http://61.184.46.85:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CHC电影,http://119.36.6.89:1111/hls/40/index.m3u8
江苏影视,http://221.226.67.66:8199/hls/41/index.m3u8
广东影视,http://183.237.71.182:40000/hls/70/index.m3u8
CHC电影,http://219.139.124.61:8089/hls/28/index.m3u8
黑龙江影视,http://112.99.195.122:65000/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
山西影视,http://171.127.97.162:85/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
家庭影院,http://182.207.218.109:999/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
