数字频道,#genre#
都市剧场,http://111.14.222.117:3333/hls/65/index.m3u8
金鹰纪实,http://111.14.222.117:3333/hls/64/index.m3u8
都市剧场,http://116.228.170.214:888/hls/22/index.m3u8
金色学堂,http://180.173.154.233:7777/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
哒啵赛事,http://111.43.126.240:7777/hls/101/index.m3u8
黑莓电影,http://111.43.126.240:7777/hls/99/index.m3u8
金鹰纪实,http://119.39.198.50:808/hls/19/index.m3u8
五星体育,http://180.165.12.42:50001/tsfile/live/0001_41.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://119.39.198.130:808/hls/19/index.m3u8
爱情喜剧,http://111.43.126.240:7777/hls/76/index.m3u8
金鹰纪实,http://180.173.154.233:7777/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://101.18.30.205:808/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
天元围棋,http://60.16.0.36:5757/hls/48/index.m3u8
金鹰纪实,http://121.19.134.146:808/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
快乐垂钓,http://121.19.134.146:808/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://120.196.235.42:9901/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://122.114.131.154:4018/hls/32/index.m3u8
都市剧场,http://60.16.0.36:5757/hls/41/index.m3u8
求索纪录,http://115.150.63.77:9902/tsfile/live/0001_33.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://121.19.134.142:808/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
法治天地,http://180.173.154.233:7777/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
快乐垂钓,http://120.27.63.14:30006/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
超级电影,http://111.43.126.240:7777/hls/85/index.m3u8
法治天地,http://222.214.208.34:59901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
都市剧场,http://115.150.63.77:9902/tsfile/live/0001_46.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://61.184.46.85:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://119.36.6.89:1111/hls/34/index.m3u8
快乐垂钓,http://119.36.6.89:1111/hls/35/index.m3u8
黑莓动画,http://111.43.126.240:7777/hls/100/index.m3u8
都市剧场,http://180.165.12.42:50001/tsfile/live/0001_28.m3u8?key=txiptv&playlive=1&authid=0
超级电视剧,http://111.43.126.240:7777/hls/84/index.m3u8
金鹰纪实,http://144.52.161.141:9901/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&authid=0
五星体育,http://180.173.154.233:7777/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://218.77.62.245:10999/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
快乐垂钓,http://115.150.63.77:9902/tsfile/live/0001_42.m3u8?key=txiptv&playlive=1&authid=0
