河北频道,#genre#
河北都市,http://122.114.131.154:4021/hls/20/index.m3u8
河北都市,http://121.19.134.142:808/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
河北农民,http://61.240.150.5:81/hls/63/index.m3u8
河北农民,http://121.19.134.146:808/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
河北农民,http://101.18.30.205:808/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
河北农民,http://122.114.131.154:4021/hls/24/index.m3u8
河北都市,http://101.18.30.205:808/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
石家庄娱乐,http://120.27.63.14:30006/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
石家庄新闻综合,http://120.27.63.14:30006/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
石家庄生活,http://120.27.63.14:30006/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
河北都市,http://120.27.63.14:30006/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
河北都市,http://121.19.134.146:808/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
河北农民,http://120.27.63.14:30006/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
河北农民,http://121.19.134.142:808/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
河北都市,http://122.114.131.154:4103/hls/10/index.m3u8
河北都市,http://27.129.145.110:4433/hls/20/index.m3u8
石家庄新闻综合,http://122.114.131.154:4018/hls/18/index.m3u8
