黑龙江频道,#genre#
黑龙江都市,http://111.43.126.240:7777/hls/9/index.m3u8
哈尔滨生活,http://111.43.126.240:7777/hls/3/index.m3u8
黑龙江少儿,http://111.43.126.240:7777/hls/12/index.m3u8
黑龙江文体,http://111.43.126.240:7777/hls/8/index.m3u8
哈尔滨影视,http://111.43.126.240:7777/hls/5/index.m3u8
黑龙江影视,http://111.43.126.240:7777/hls/7/index.m3u8
黑龙江文体,http://112.99.195.122:65000/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江都市,http://112.99.195.122:65000/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江少儿,http://112.99.195.122:65000/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江新闻法治,http://112.99.195.122:65000/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江影视,http://112.99.195.122:65000/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
