CCTV4K,238.200.200.92:5540
北京卫视4K,238.200.200.129:5540
北京卫视4K,238.200.200.11:5540
东方卫视4K,238.200.200.20:5540
广东卫视4K,238.200.200.30:5540
深圳卫视4K,238.200.200.21:5540
湖南卫视4K,238.200.200.168:5540
四川卫视4K,238.200.200.100:5540
浙江卫视4K,238.200.200.106:5540
江苏卫视4K,238.200.200.101:5540
欢笑剧场4K,238.200.200.252:5540
山东卫视4K,238.200.200.103:5540
CCTV1,238.200.200.217:5540
CCTV1,238.200.200.133:5540
CCTV1,238.200.200.251:5540
CCTV2,238.200.200.231:5540
CCTV3,238.200.200.63:5540
CCTV4,238.200.200.232:5540
CCTV5,238.200.200.64:5540
CCTV6,238.200.200.65:5540
CCTV7,238.200.200.237:5540
CCTV8,238.200.200.66:5540
CCTV9,238.200.200.238:5540
CCTV10,238.200.200.239:5540
CCTV11,238.200.200.57:5540
CCTV12,238.200.200.240:5540
CCTV13,238.200.200.58:5540
CCTV14,238.200.200.241:5540
CCTV15,238.200.200.59:5540
CCTV17,238.200.200.242:5540
CETV1,238.200.200.43:5540
CETV4,238.200.200.70:5540
CETV早期教育,238.200.200.84:5540
CHC影迷电影,238.200.200.62:5540
CHC家庭影院,238.200.200.60:5540
CHC动作电影,238.200.200.61:5540
第一剧场,238.200.200.81:5540
风云剧场,238.200.200.80:5540
风云足球,238.200.200.67:5540
风云音乐,238.200.200.82:5540
世界地理,238.200.200.73:5540
怀旧剧场,238.200.200.77:5540
兵器科技,238.200.200.69:5540
女性时尚,238.200.200.74:5540
高尔夫网球,238.200.200.76:5540
央视台球,238.200.200.68:5540
央视文化精品,238.200.200.83:5540
法治天地,238.200.200.99:5540
游戏风云,238.200.200.29:5540
茶频道,238.200.200.248:5540
金色学堂,238.200.200.10:5540
金鹰纪实,238.200.200.226:5540
快乐垂钓,238.200.200.247:5540
生活时尚,238.200.200.31:5540
乐游,238.200.200.32:5540
动漫秀场,238.200.200.33:5540
重庆卫视,238.200.200.45:5540
江苏卫视,238.200.200.135:5540
浙江卫视,238.200.200.134:5540
东方卫视,238.200.200.125:5540
深圳卫视,238.200.200.139:5540
北京卫视,238.200.200.137:5540
山东卫视,238.200.200.141:5540
天津卫视,238.200.200.39:5540
贵州卫视,238.200.200.86:5540
四川卫视,238.200.200.44:5540
云南卫视,238.200.200.234:5540
广西卫视,238.200.200.235:5540
黑龙江卫视,238.200.200.140:5540
安徽卫视,238.200.200.38:5540
山西卫视,238.200.200.104:5540
江西卫视,238.200.200.40:5540
湖北卫视,238.200.200.142:5540
旅游卫视,238.200.200.85:5540
陕西卫视,238.200.200.71:5540
东南卫视,238.200.200.42:5540
吉林卫视,238.200.200.236:5540
辽宁卫视,238.200.200.41:5540
内蒙古卫视,238.200.200.28:5540
湖南卫视,238.200.200.136:5540
广东卫视,238.200.200.138:5540
河南卫视,238.200.200.233:5540
河北卫视,238.200.200.225:5540
甘肃卫视,238.200.200.181:5540
青海卫视,238.200.200.25:5540
新疆卫视,238.200.200.22:5540
西藏卫视,238.200.200.27:5540
兵团卫视,238.200.200.23:5540
三沙卫视,238.200.200.95:5540
金鹰卡通,238.200.200.26:5540
哈哈炫动,238.200.200.176:5540
卡酷少儿,238.200.200.218:5540
上海新闻,238.200.200.130:5540
上海都市,238.200.200.127:5540
东方影视,238.200.200.128:5540
上海教育,238.200.200.187:5540
东方财经,238.200.200.36:5540
第一财经,238.200.200.132:5540
五星体育,238.200.200.131:5540
都市剧场,238.200.200.34:5540
欢笑剧场,238.200.200.35:5540
央广购物,238.200.200.249:5540
东方购物-1,238.200.200.79:5540
东方购物-2,238.200.200.7:5540
百事通直播,238.200.200.143:5540
百事通直播,238.200.200.144:5540
百事通直播,238.200.200.145:5540
百事通直播,238.200.200.146:5540
百事通直播,238.200.200.147:5540
百事通直播,238.200.200.148:5540
百事通直播,238.200.200.149:5540
百事通直播,238.200.200.214:5540
百事通直播,238.200.200.215:5540
百事通直播,238.200.200.216:5540
百事通预告,238.200.200.78:5540
CCTV1SD,238.200.200.98:5540
CCTV2SD,238.200.200.111:5540
CCTV3SD,238.200.200.112:5540
CCTV4SD,238.200.200.113:5540
CCTV5SD,238.200.200.114:5540
CCTV6SD,238.200.200.115:5540
CCTV7SD,238.200.200.116:5540
CCTV8SD,238.200.200.117:5540
CCTV9SD,238.200.200.243:5540
CCTV10SD,238.200.200.119:5540
CCTV11SD,238.200.200.120:5540
CCTV12SD,238.200.200.121:5540
CCTV13SD,238.200.200.122:5540
CCTV14SD,238.200.200.123:5540
CCTV15SD,238.200.200.124:5540
CCTV17SD,238.200.200.244:5540
CETV1SD,238.200.200.56:5540
CETV2SD,238.200.200.227:5540
CGTNSD,238.200.200.118:5540
法治天地SD,238.200.200.109:5540
游戏风云SD,238.200.200.110:5540
金色学堂SD,238.200.200.182:5540
生活时尚SD,238.200.200.183:5540
乐游SD,238.200.200.180:5540
动漫秀场SD,238.200.200.184:5540
重庆卫视SD,238.200.200.169:5540
江苏卫视SD,238.200.200.48:5540
浙江卫视SD,238.200.200.49:5540
东方卫视SD,238.200.200.88:5540
深圳卫视SD,238.200.200.55:5540
北京卫视SD,238.200.200.47:5540
山东卫视SD,238.200.200.51:5540
天津卫视SD,238.200.200.158:5540
贵州卫视SD,238.200.200.170:5540
四川卫视SD,238.200.200.154:5540
云南卫视SD,238.200.200.165:5540
广西卫视SD,238.200.200.153:5540
黑龙江卫视SD,238.200.200.52:5540
安徽卫视SD,238.200.200.156:5540
江西卫视SD,238.200.200.159:5540
湖北卫视SD,238.200.200.53:5540
旅游卫视SD,238.200.200.152:5540
东南卫视SD,238.200.200.157:5540
吉林卫视SD,238.200.200.160:5540
辽宁卫视SD,238.200.200.155:5540
湖南卫视SD,238.200.200.50:5540
广东卫视SD,238.200.200.54:5540
河南卫视SD,238.200.200.171:5540
河北卫视SD,238.200.200.167:5540
宁夏卫视SD,238.200.200.151:5540
甘肃卫视SD,238.200.200.166:5540
青海卫视SD,238.200.200.162:5540
三沙卫视SD,238.200.200.174:5540
延边卫视SD,238.200.200.75:5540
金鹰卡通SD,238.200.200.175:5540
嘉佳卡通SD,238.200.200.245:5540
哈哈炫动SD,238.200.200.105:5540
卡酷少儿SD,238.200.200.246:5540
上海新闻SD,238.200.200.87:5540
上海都市SD,238.200.200.89:5540
东方影视SD,238.200.200.90:5540
上海教育SD,238.200.200.24:5540
第一财经SD,238.200.200.229:5540
五星体育SD,238.200.200.102:5540
都市剧场SD,238.200.200.177:5540
财富天下SD,238.200.200.230:5540
央广购物SD,238.200.200.223:5540
东方购物-1SD,238.200.200.93:5540
东方购物-2SD,238.200.200.94:5540
好享购物SD,238.200.200.220:5540
家庭理财SD,238.200.200.188:5540
