内蒙古卫视,239.29.0.2:5000
内蒙经济,239.29.0.212:5000
内蒙新闻,239.29.0.208:5000
内蒙文体娱乐,239.29.0.211:5000
内蒙农牧,239.29.0.209:5000
内蒙少儿,239.29.0.207:5000
内蒙蒙语,239.29.0.210:5000
CCTV1,239.29.0.113:5000
CCTV2,239.29.0.116:5000
CCTV3,239.29.1.133:5000
CCTV4,239.29.0.87:5000
CCTV4欧洲,239.29.1.144:5000
CCTV4美洲,239.29.1.142:5000
CCTV5,239.29.1.134:5000
CCTV5+,239.29.1.10:5001
CCTV6,239.29.1.135:5000
CCTV7,239.29.0.117:5000
CCTV8,239.29.1.136:5000
CCTV9,239.29.0.118:5000
CCTV10,239.29.0.119:5000
CCTV11,239.29.0.205:5000
CCTV12,239.29.0.120:5000
CCTV13,239.29.1.123:5000
CCTV14,239.29.0.121:5000
CCTV15,239.29.0.206:5000
CCTV16,239.29.1.146:5000
CCTV16 4K,239.29.1.149:5000
CCTV17,239.29.1.145:5000
CETV1,239.29.0.95:5000
CETV2,239.29.0.139:5000
CGTN,239.29.1.143:5000
XHTV,239.29.0.187:5000
ELTV,239.29.1.113:5000
呼市都市,239.29.0.36:5000
呼市新闻,239.29.0.35:5000
呼市影视,239.29.0.37:5000
包头经济,239.29.0.204:5000
包头生活,239.29.0.112:5000
包头新闻,239.29.0.111:5000
乌海新闻,239.29.0.11:5000
乌海都市,239.29.0.12:5000
乌盟经济,239.29.0.23:5000
乌盟新闻,239.29.0.22:5000
乌盟生活,239.29.0.24:5000
赤峰新闻,239.29.0.13:5000
赤峰经济,239.29.0.14:5000
赤峰影视,239.29.0.15:5000
兴安新闻,239.29.0.16:5000
兴安文化,239.29.0.17:5000
兴安影视,239.29.0.18:5000
通辽城市,239.29.0.42:5000
通辽新闻,239.29.0.41:5000
通辽蒙语,239.29.0.40:5000
阿拉善新闻,239.29.0.28:5000
阿拉善经济,239.29.0.29:5000
呼伦贝尔新闻,239.29.0.19:5000
呼伦贝尔文游,239.29.0.20:5000
呼伦贝尔资讯,239.29.0.21:5000
巴彦淖尔新闻,239.29.0.25:5000
巴彦淖尔经济,239.29.0.26:5000
巴彦淖尔影视,239.29.0.27:5000
鄂尔多斯新闻,239.29.0.30:5000
鄂尔多斯生活,239.29.0.32:5000
鄂尔多斯经济,239.29.0.31:5000
鄂尔多斯蒙语,239.29.0.33:5000
锡林郭勒1,239.29.0.38:5000
锡林郭勒2,239.29.0.39:5000
苏尼特左旗,239.29.0.190:5000
苏尼特右旗,239.29.0.191:5000
乌拉特前旗,239.29.0.150:5000
乌拉特中旗,239.29.0.152:5000
乌拉特后旗,239.29.0.151:5000
突泉,239.29.0.174:5000
磴口,239.29.0.156:5000
多伦,239.29.0.155:5000
杭后,239.29.0.149:5000
达茂,239.29.1.101:5000
库伦,239.29.1.100:5000
丰镇,239.29.1.103:5000
五原,239.29.0.148:5000
武川,239.29.0.182:5000
扎兰屯,239.29.1.109:5000
阿尔山,239.29.1.112:5000
阿巴嘎,239.29.0.184:5000
翁牛特,239.29.0.186:5000
托克托,239.29.0.146:5000
满洲里,239.29.0.34:5000
额济纳,239.29.0.177:5000
西乌旗,239.29.0.181:5000
阿右旗,239.29.0.175:5000
正蓝旗,239.29.0.147:5000
东乌旗,239.29.0.180:5000
土左旗,239.29.0.188:5000
太仆寺旗,239.29.0.154:5000
准格尔旗,239.29.0.192:5000
科右中旗,239.29.0.178:5000
正镶白旗,239.29.0.153:5000
扎赉特旗,239.29.0.185:5000
察右中旗,239.29.1.106:5000
喀喇沁县,239.29.1.150:5000
额尔古纳,239.29.1.132:5000
和林格尔,239.29.0.183:5000
伊金霍洛旗,239.29.1.105:5000
克什克腾旗,239.29.1.110:5000
4K,239.29.1.131:5000
内蒙古购物,239.29.0.1:5000
同屏跨年,239.29.1.119:5000
内蒙古本地频道展示,239.29.1.117:5000
卫视频道收视排行榜TOP10,239.29.1.118:5000
全部频道收视排行榜TOP10,239.29.1.116:5000
北京卫视,239.29.0.108:5000
天津卫视,239.29.0.98:5000
湖南卫视,239.29.0.90:5000
湖北卫视,239.29.0.107:5000
东方卫视,239.29.0.97:5000
江苏卫视,239.29.0.102:5000
浙江卫视,239.29.0.96:5000
山东卫视,239.29.0.106:5000
安徽卫视,239.29.0.81:5000
东南卫视,239.29.0.103:5000
江西卫视,239.29.0.125:5000
广东卫视,239.29.0.123:5000
辽宁卫视,239.29.0.109:5000
吉林卫视,239.29.1.125:5000
贵州卫视,239.29.0.104:5000
四川卫视,239.29.0.100:5000
深圳卫视,239.29.0.105:5000
重庆卫视,239.29.0.99:5000
河北卫视,239.29.0.124:5000
海南卫视,239.29.1.126:5000
甘肃卫视,239.29.1.124:5000
黑龙江卫视,239.29.0.91:5000
河南卫视,239.29.1.69:5001
广西卫视,239.29.1.57:5001
云南卫视,239.29.0.76:5000
山西卫视,239.29.1.55:5001
陕西卫视,239.29.1.86:5001
宁夏卫视,239.29.0.80:5000
青海卫视,239.29.1.87:5001
西藏卫视,239.29.1.79:5001
新疆卫视,239.29.1.59:5001
兵团卫视,239.29.1.34:5001
山东教育,239.29.1.96:5001
三沙卫视,239.29.1.121:5000
延边卫视,239.29.0.133:5000
农林卫视,239.29.0.129:5000
纪实人文,239.29.0.101:5000
嘉佳卡通,239.29.0.126:5000
优漫卡通,239.29.0.127:5000
哈哈炫动,239.29.0.128:5000
爱上4K,239.29.0.169:5000
欢笑剧场4K,239.29.1.114:5000
欢笑剧场,239.29.0.200:5000
全纪实,239.29.0.202:5000
法制天地,239.29.0.196:5000
游戏风云,239.29.0.197:5000
冬奥纪实,239.29.0.110:5000
金鹰纪实,239.29.0.92:5000
都市剧场,239.29.0.198:5000
金色频道,239.29.0.195:5000
极速汽车,239.29.0.199:5000
时尚生活,239.29.0.201:5000
动漫秀场,239.29.0.203:5000
动画,239.29.1.38:5001
精选,239.29.1.77:5001
地理,239.29.1.46:5001
足球,239.29.0.142:5000
星影,239.29.1.62:5001
早教,239.29.1.61:5001
光影,239.29.1.32:5001
墨宝,239.29.0.140:5000
美人,239.29.0.136:5000
鉴赏,239.29.0.137:5000
好学生,239.29.1.49:5001
爱生活,239.29.1.94:5001
IPTV3+,239.29.1.18:5001
IPTV5+,239.29.1.10:5001
IPTV6+,239.29.1.20:5001
IPTV8+,239.29.1.21:5001
IPTV野外,239.29.1.25:5001
IPTV法制,239.29.1.22:5001
谍战剧场,239.29.1.24:5001
城市剧场,239.29.1.47:5001
古装剧场,239.29.1.42:5001
武侠剧场,239.29.1.65:5001
动作影院,239.29.1.36:5001
军旅剧场,239.29.1.35:5001
喜剧影院,239.29.1.44:5001
家庭影院,239.29.1.52:5001
音乐现场,239.29.1.88:5001
少儿动画,239.29.1.53:5001
金鹰卡通,239.29.1.85:5001
卡酷少儿,239.29.1.41:5001
相声小品,239.29.1.23:5001
七彩戏剧,239.29.1.26:5001
东方财经,239.29.1.29:5001
收视指南,239.29.1.58:5001
热播剧场,239.29.1.75:5001
经典电影,239.29.1.78:5001
魅力时尚,239.29.1.89:5001
