CCTV4K,228.1.1.227:2000
CCTV1,228.1.1.28:8008
CCTV2,228.1.1.24:8084
CCTV3,228.1.1.191:8002
CCTV4,228.1.1.25:8092
CCTV4欧洲,228.1.1.213:4220
CCTV4美洲,228.1.1.203:4220
CCTV5,228.1.1.192:8002
CCTV5+,228.1.1.23:8004
CCTV6,228.1.1.193:8002
CCTV7,228.1.1.26:8104
CCTV8,228.1.1.194:8002
CCTV9,228.1.1.27:8112
CCTV10,228.1.1.29:8116
CCTV11,228.1.1.182:8120
CCTV12,228.1.1.30:8124
CCTV13,228.1.1.212:8128
CCTV14,228.1.1.31:8132
CCTV15,228.1.1.183:8136
CCTV16,228.1.1.215:8002
CCTV17,228.1.1.181:8144
CETV1,228.1.1.32:8152
CFTN阿语,228.1.1.208:4220
CGTN,228.1.1.204:4220
CGTN俄语,228.1.1.209:4220
CGTN法语,228.1.1.207:4220
CGTN纪录,228.1.1.205:4220
CGTN西语,228.1.1.206:4220
CHC动作电影,228.1.1.238:7000
IPTV少儿动画,228.1.1.83:9000
IPTV收视指南,228.1.1.108:8012
IPTV热播剧场,228.1.1.88:9020
IPTV经典电影,228.1.1.89:9024
IPTV魅力时尚,228.1.1.86:9012
东南卫视,228.1.1.185:8148
东方卫视,228.1.1.39:8032
东方卫视4K,228.1.1.43:3006
中国交通,228.1.1.222:8002
光影,228.1.1.165:4120
兵团卫视,228.1.1.243:8196
军事,228.1.1.157:4120
军旅剧场,228.1.1.149:4120
动作影院,228.1.1.173:4120
动画,228.1.1.161:4120
北京4K,228.1.1.123:8001
北京体育休闲,228.1.1.117:8000
北京卫视,228.1.1.115:8000
北京卫视4K,228.1.1.235:8002
北京国际,228.1.1.111:8000
北京影视,228.1.1.190:8000
北京房山,228.1.1.139:8001
北京文艺,228.1.1.116:8000
北京新闻,228.1.1.189:8000
北京朝阳,228.1.1.140:8001
北京生活,228.1.1.198:8000
北京纪实科教,228.1.1.196:8000
北京纪实科教8K,228.1.1.217:8002
北京财经,228.1.1.197:8000
卡酷少儿,228.1.1.195:8000
古早影院,228.1.1.169:4120
古装剧场,228.1.1.150:4120
吉林卫视,228.1.1.214:8172
喜剧影院,228.1.1.172:4120
四大名著剧场,228.1.1.166:4120
四川卫视4K,228.1.1.47:3000
国学,228.1.1.158:4120
地理,228.1.1.152:4120
城市剧场,228.1.1.148:4120
墨宝,228.1.1.164:4120
天津卫视,228.1.1.15:1234
好学生,228.1.1.162:4120
宁夏卫视,228.1.1.244:8212
安徽卫视,228.1.1.21:8064
家庭影院,228.1.1.174:4120
山东卫视,228.1.1.18:8052
山东卫视4K,228.1.1.46:3006
广东卫视,228.1.1.17:8048
广东卫视4K,228.1.1.241:2000
快乐垂钓,228.1.1.144:8002
戏曲,228.1.1.159:4120
新疆卫视,228.1.1.246:8192
早教,228.1.1.160:4120
星影,228.1.1.175:4120
武侠剧场,228.1.1.171:4120
武术,228.1.1.168:4120
江苏卫视,228.1.1.37:8028
江苏卫视4K,228.1.1.41:3002
江西卫视,228.1.1.211:8164
河北卫视,228.1.1.187:8072
河南卫视,228.1.1.236:8184
浙江卫视,228.1.1.13:8036
浙江卫视4K,228.1.1.45:3004
淘baby,228.1.1.128:8001
淘剧场,228.1.1.126:8001
淘娱乐,228.1.1.133:8001
淘电影,228.1.1.124:8001
深圳卫视,228.1.1.36:8020
深圳卫视4K,228.1.1.240:2000
湖北卫视,228.1.1.16:8044
湖南卫视,228.1.1.33:8012
湖南卫视4K,228.1.1.40:3002
爱上4K,228.1.1.38:2000
爱生活,228.1.1.167:4120
甘肃卫视,228.1.1.242:8180
睛彩广场舞,228.1.1.226:8002
睛彩竞技,228.1.1.223:8002
睛彩篮球,228.1.1.224:8002
睛彩青少,228.1.1.225:8002
精选,228.1.1.154:4120
精选,228.1.1.155:4120
美妆,228.1.1.153:4120
茶频道,228.1.1.145:8002
萌宠TV,228.1.1.135:8002
西藏卫视,228.1.1.245:8188
解密,228.1.1.156:4120
贵州卫视,228.1.1.188:8076
足球,228.1.1.170:4120
辽宁卫视,228.1.1.19:8056
重庆卫视,228.1.1.210:8160
重温经典,228.1.1.237:8002
金鹰纪实,228.1.1.34:8156
鉴赏,228.1.1.163:4120
音乐现场,228.1.1.151:4120
黑龙江卫视,228.1.1.35:8016
CETV2SD,228.1.1.97:4120
CETV4SD,228.1.1.99:4120
三沙卫视SD,228.1.1.186:4120
云南卫视SD,228.1.1.44:8108
内蒙古卫视SD,228.1.1.59:8176
北京延庆SD,228.1.1.219:8002
厦门卫视SD,228.1.1.176:4120
嘉佳卡通SD,228.1.1.93:9268
四川卫视SD,228.1.1.77:8288
山东教育卫视SD,228.1.1.96:4120
山西卫视SD,228.1.1.58:8172
广西卫视SD,228.1.1.80:8300
旅游卫视SD,228.1.1.81:8304
财富天下SD,228.1.1.90:9136
金鹰卡通SD,228.1.1.92:9252
陕西卫视SD,228.1.1.53:8140
青海卫视SD,228.1.1.60:8184
