CCTV1,239.254.96.96:8550
CCTV2,239.69.1.102:10250
CCTV3综艺,239.69.1.122:10370
CCTV4中文国际,239.69.1.138:10466
CCTV5体育,239.69.1.123:10376
CCTV6电影,239.69.1.124:10382
CCTV7国防军事,239.69.1.103:10256
CCTV8电视剧,239.69.1.125:10388
CCTV9纪录,239.69.1.104:10262
CCTV10科教,239.69.1.105:10268
CCTV11戏曲,239.69.1.154:10560
CCTV12社会与法,239.69.1.106:10274
CCTV13新闻,239.254.96.161:9040
CCTV14少儿,239.69.1.107:10280
CCTV15音乐,239.69.1.155:10566
CCTV16,239.69.1.247:11124
CCTV17农业农村,239.69.1.152:10548
CCTV5+,239.254.96.234:9484
CCTV4K,239.69.1.12:9712
CHC影迷电影,239.69.1.241:11088
CHC动作电影,239.69.1.242:11094
CHC家庭影院,239.69.1.243:11100
CCTV第一剧场,239.69.1.74:10084
CCTV兵器科技,239.69.1.79:10114
CCTV风云足球,239.69.1.81:10126
CCTV高尔夫网球,239.69.1.83:10138
CCTV世界地理,239.69.1.91:10186
CCTV央视台球,239.69.1.98:10224
CCTV4欧洲,239.69.1.231:11028
CCTV4美洲,239.69.1.232:11034
湖北卫视,239.254.96.115:8664
河北卫视,239.254.96.113:9616
深圳卫视,239.254.96.137:8896
湖南卫视,239.254.96.139:8908
广东卫视,239.254.96.140:8914
北京卫视,239.254.96.141:8920
东方卫视,239.254.96.142:8926
浙江卫视,239.254.96.143:8932
江苏卫视,239.254.96.144:8938
天津卫视,239.69.1.68:10048
山东卫视,239.69.1.69:10054
安徽卫视,239.69.1.70:10060
辽宁卫视,239.69.1.71:10066
东南卫视,239.69.1.108:10286
江西卫视,239.69.1.126:10394
重庆卫视,239.69.1.149:10530
贵州卫视,239.69.1.150:10536
海南卫视,239.69.1.151:10542
河南卫视,239.69.1.168:10644
四川卫视,239.69.1.169:10650
广西卫视,239.69.1.191:10788
吉林卫视,239.69.1.212:10914
黑龙江卫视,239.254.96.138:8902
湖北公共新闻,239.69.1.40:9880
湖北经视频道,239.69.1.41:9886
湖北综合频道,239.69.1.42:9892
湖北垄上频道,239.69.1.43:9898
湖北影视频道,239.69.1.204:10866
湖北生活频道,239.69.1.205:10872
湖北教育频道,239.69.1.206:10878
武汉新闻综合,239.69.1.145:10506
武汉电视剧,239.69.1.146:10512
武汉科技生活,239.69.1.251:11148
武汉文体频道,239.69.1.147:10518
武汉教育频道,239.69.1.60:9994
阳新综合,239.69.1.34:9844
房县综合,239.69.1.192:10794
蔡甸综合,239.69.1.245:11112
金鹰纪实,239.69.1.109:10292
金鹰卡通,239.69.1.248:11130
快乐垂钓,239.69.1.142:10488
茶频道,239.69.1.144:10500
卡酷少儿,239.69.1.193:10800
梨园频道,239.69.1.33:9838
武术世界,239.69.1.47:9922
CETV1,239.69.1.110:10298
CGTN记录片,239.69.1.233:11040
CGTN西班牙语,239.69.1.234:11046
CGTN法语,239.69.1.235:11052
CCTV4K,239.69.1.111:10304
CCTV16 4K,239.69.1.249:11136
CETV4,239.69.2.29:11328
CGTN,239.254.96.175:9124
CGTN俄语,239.69.1.222:10974
CGTN阿语,239.69.1.221:10968
东方卫视4K,239.69.2.37:11376
东方财经,239.69.2.9:11208
中华特产,239.69.2.18:11262
中国交通,239.69.2.3:11172
中学生,239.69.2.17:11256
乐游,239.69.2.12:11226
九屏导视,239.69.1.156:10572
云南卫视,239.69.2.25:11304
兵团卫视,239.69.2.32:11346
凤凰中文台,239.69.2.20:11274
凤凰资讯台,239.69.2.19:11268
动漫秀场,239.69.2.6:11190
北京卫视4K,239.69.2.22:11286
四川卫视4K,239.69.2.39:11388
四川卫视4K,239.69.1.28:9808
四海钓鱼,239.69.1.244:11106
宁夏卫视,239.69.2.33:11352
山东卫视4K,239.69.1.26:9796
山东卫视4K,239.69.2.38:11382
广东卫视4K,239.69.2.27:11316
怀旧剧场,239.69.1.86:10156
怀旧剧场,239.69.1.89:10174
文物宝库,239.69.1.46:9916
新疆卫视,239.69.2.30:11334
欢笑剧场4K,239.69.2.5:11184
江苏卫视4K,239.69.1.24:9784
江苏卫视4K,239.69.2.36:11370
河北卫视,239.69.1.157:10578
法治天地,239.69.2.10:11214
浙江卫视4K,239.69.2.35:11364
浙江卫视4K,239.69.1.25:9790
深圳卫视4K,239.69.2.28:11322
游戏风云,239.69.2.8:11202
湖南卫视4K,239.69.1.13:9718
湖南卫视4K,239.69.1.27:9802
湖南卫视4K,239.69.2.34:11358
甘肃卫视,239.69.2.23:11292
生活时尚,239.69.2.11:11220
电视指南,239.69.1.87:10162
西藏卫视,239.69.2.31:11340
都市剧场,239.69.2.4:11178
金色学堂,239.69.2.13:11232
青海卫视,239.69.2.24:11298
风云音乐,239.69.1.90:10180
CCTV1SD,239.254.96.3:7992
CCTV2SD,239.254.96.154:8998
CCTV4SD,239.254.96.155:9004
CCTV5+SD,239.254.96.99:8568
CCTV7SD,239.254.96.156:9130
CCTV9SD,239.254.96.157:9016
CCTV10SD,239.254.96.158:9022
CCTV11SD,239.254.96.159:9028
CCTV11SD,239.254.96.9:8028
CCTV12SD,239.254.96.160:9034
CCTV13SD,239.254.96.11:8040
CCTV14SD,239.254.96.162:9046
CCTV15SD,239.254.96.13:8052
CCTV17SD,239.69.1.153:10554
CETV2SD,239.69.1.183:10734
CETV4SD,239.69.1.175:10686
CGTNSD,239.254.96.7:8016
三沙卫视SD,239.69.1.171:10662
东南卫视SD,239.254.96.26:8130
东方卫视SD,239.254.96.2:7986
书法频道SD,239.69.1.189:10776
云南卫视SD,239.254.96.30:8154
优购物SD,239.69.1.65:10030
优购物SD,239.69.2.15:11244
先锋乒羽SD,239.69.1.143:10494
兵团卫视SD,239.254.96.48:8262
内蒙古卫视SD,239.254.96.41:8220
北京卫视SD,239.254.96.16:8070
卡酷少儿SD,239.254.96.188:9208
厦门卫视SD,239.69.1.127:10400
吉林卫视SD,239.254.96.91:8520
四川卫视SD,239.254.96.90:8514
国学频道SD,239.254.96.194:9244
天津卫视SD,239.254.96.29:8148
央广购物SD,239.69.2.1:11160
宁夏卫视SD,239.254.96.97:8556
安徽卫视SD,239.254.96.20:8094
山东卫视SD,239.254.96.21:8100
山东教育卫视SD,239.69.1.228:11010
山西卫视SD,239.254.96.93:8532
广东卫视SD,239.254.96.22:8106
广西卫视SD,239.254.96.23:8112
新动漫SD,239.69.1.187:10764
新疆卫视SD,239.254.96.47:8256
旅游卫视SD,239.254.96.24:8118
武汉文体SD,239.69.1.4:9664
武汉电视剧SD,239.254.96.229:9454
武汉科技生活SD,239.69.1.2:9652
武汉综合SD,239.254.96.228:9448
江苏卫视SD,239.254.96.17:8076
江西卫视SD,239.254.96.27:8136
河北卫视SD,239.254.96.185:9190
河南卫视SD,239.254.96.28:8142
浙江卫视SD,239.254.96.18:8082
深圳卫视SD,239.254.96.34:8178
湖北公共新闻SD,239.254.96.179:9154
湖北卫视SD,239.254.96.1:7980
湖北垄上SD,239.254.96.184:9184
湖北影视SD,239.254.96.182:9172
湖北教育SD,239.254.96.180:9160
湖北生活SD,239.254.96.181:9166
湖北经视SD,239.254.96.178:9148
湖北综合SD,239.254.96.177:9142
湖南卫视SD,239.254.96.15:8064
环球奇观SD,239.254.96.192:9232
甘肃卫视SD,239.254.96.187:9202
老故事SD,239.69.1.85:10150
聚鲨环球精选SD,239.69.2.14:11238
西藏卫视SD,239.254.96.35:8184
财富天下SD,239.254.96.210:9340
贵州卫视SD,239.254.96.31:8160
辽宁卫视SD,239.254.96.19:8088
重庆卫视SD,239.254.96.25:8124
重庆汽摩SD,239.69.1.84:10144
金鹰卡通SD,239.254.96.189:9214
陕西卫视SD,239.254.96.186:9196
青海卫视SD,239.254.96.95:8544
黑龙江卫视SD,239.254.96.92:8526
