======================================================================
IPTV 酒店源流量测试报告 (2026-03-30 10:05:09)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
----------------------------------------------------------------------
1.196.157.118:999         | CCTV6                | 8.06   Mbps | 63%
1.196.157.118:999         | CCTV7                | 6.3    Mbps | 0%
1.196.157.118:999         | CCTV8                | 6.21   Mbps | 0%
1.198.30.111:9901         | 河南卫视                 | 5.64   Mbps | 0%
1.198.30.111:9901         | 辽宁卫视                 | 7.31   Mbps | 0%
1.198.30.111:9901         | CCTV15音乐             | 6.01   Mbps | 9%
1.24.39.180:808           | CCTV6电影              | 6.66   Mbps | 29%
1.24.39.180:808           | CCTV13               | 6.86   Mbps | 6%
1.24.39.180:808           | CCTV3综艺              | 6.11   Mbps | 0%
1.25.137.51:9901          | CCTV8电视剧             | 5.03   Mbps | 96%
1.25.137.51:9901          | 辽宁卫视                 | 3.28   Mbps | 0%
1.25.139.206:9901         | 浙江卫视                 | 3.25   Mbps | 0%
1.25.139.206:9901         | CCTV9纪录              | 3.27   Mbps | 0%
1.31.14.70:54321          | CCTV7                | 0.47   Mbps | 100%
1.31.14.70:54321          | 经济生活                 | 0.64   Mbps | 100%
1.31.14.70:54321          | 深圳卫视                 | 1.3    Mbps | 100%
101.18.30.205:808         | 河北经济生活               | 1.85   Mbps | 100%
101.18.30.205:808         | 保定新闻综合               | 0.44   Mbps | 100%
101.18.30.205:808         | 河北卫视                 | 0.9    Mbps | 100%
101.66.194.65:9901        | 云南卫视                 | 1.87   Mbps | 4%
101.66.194.65:9901        | 河南卫视                 | 3.57   Mbps | 67%
101.66.194.65:9901        | CCTV6电影              | 1.84   Mbps | 100%
101.66.194.74:9901        | CCTV12社会与法           | 3.23   Mbps | 54%
101.66.194.74:9901        | 广西卫视                 | 0.8    Mbps | 100%
101.66.194.74:9901        | CCTV13新闻             | 1.06   Mbps | 100%
101.66.194.94:9901        | 金鹰卡通                 | 1.83   Mbps | 47%
101.66.194.94:9901        | 湖北卫视                 | 1.39   Mbps | 100%
101.66.194.94:9901        | 北京卫视                 | 1.21   Mbps | 100%
101.66.198.27:9901        | CCTV2财经              | 2.22   Mbps | 100%
101.66.198.27:9901        | 江苏卫视                 | 1.63   Mbps | 100%
101.66.198.27:9901        | CCTV3综艺              | 1.23   Mbps | 100%
101.66.199.172:9901       | CCTV11戏曲             | 1.08   Mbps | 14%
101.66.199.172:9901       | 江苏卫视                 | 0.61   Mbps | 100%
101.66.199.213:9901       | CCTV6电影              | 0.45   Mbps | 100%
101.66.199.213:9901       | 北京卫视                 | 0.65   Mbps | 100%
101.66.199.213:9901       | 山东卫视                 | 0.33   Mbps | 100%
101.66.199.89:9901        | CCTV1综合              | 3.8    Mbps | 0%
101.66.199.89:9901        | CCTV2财经              | 1.35   Mbps | 100%
101.66.199.89:9901        | CCTV7军农              | 2.71   Mbps | 100%
101.95.21.250:10081       | CCTV8                | 0.18   Mbps | 100%
101.95.21.250:10081       | 河北卫视                 | 0.31   Mbps | 100%
101.95.21.250:10081       | CCTV10               | 0.37   Mbps | 100%
106.115.24.186:9901       | 吉林卫视                 | 5.05   Mbps | 100%
106.115.24.186:9901       | 湖南卫视                 | 6.24   Mbps | 47%
106.115.24.186:9901       | CCTV9                | 3.76   Mbps | 100%
106.115.24.7:9901         | 东方卫视                 | 0.61   Mbps | 100%
106.115.24.7:9901         | CCTV2                | 0.18   Mbps | 100%
106.115.25.180:9901       | CCTV10               | 0.84   Mbps | 100%
106.115.25.180:9901       | CCTV7                | 0.23   Mbps | 100%
106.115.27.21:9901        | 广西卫视                 | 5.72   Mbps | 10%
106.115.27.21:9901        | 梨园                   | 2.28   Mbps | 12%
106.115.27.21:9901        | 江苏卫视                 | 5.72   Mbps | 0%
106.44.226.206:88         | 湖南卫视                 | 3.94   Mbps | 92%
106.44.226.206:88         | 榆林卫视                 | 5.14   Mbps | 0%
106.44.226.206:88         | CCTV5                | 5.47   Mbps | 94%
106.46.169.202:9000       | CCTV7                | 0.59   Mbps | 100%
106.46.169.202:9000       | 湖北卫视                 | 0.74   Mbps | 100%
106.46.169.202:9000       | CCTV3                | 0.41   Mbps | 100%
110.53.218.182:9002       | 东方卫视                 | 0.13   Mbps | 100%
110.53.218.182:9002       | CCTV5体育              | 0.11   Mbps | 100%
110.53.218.182:9002       | CCTV12社会与法           | 0.11   Mbps | 100%
111.120.8.205:9901        | 北京卫视                 | 0.03   Mbps | 100%
111.120.8.205:9901        | 兵团卫视                 | 0.03   Mbps | 100%
111.14.186.11:5009        | 山西卫视                 | 3.67   Mbps | 35%
111.14.186.11:5009        | CCTV8电视剧             | 10.37  Mbps | 0%
111.14.186.11:5009        | 湖南卫视                 | 9.41   Mbps | 85%
111.14.222.117:3333       | CCTV3综艺              | 9.69   Mbps | 0%
111.14.222.117:3333       | CCTV4中文国际            | 10.14  Mbps | 88%
111.14.222.117:3333       | 甘肃卫视                 | 9.67   Mbps | 52%
111.221.137.199:44330     | CCTV9纪录              | 0.15   Mbps | 0%
111.221.137.199:44330     | 天津卫视                 | 0.15   Mbps | 0%
111.221.137.199:44330     | 江苏卫视                 | 0.17   Mbps | 77%
112.123.243.37:50085      | 广东卫视                 | 0.69   Mbps | 100%
112.123.243.37:50085      | 吉林卫视                 | 3.07   Mbps | 0%
112.123.243.37:50085      | 内蒙古卫视                | 2.89   Mbps | 0%
112.237.16.225:7001       | 江西卫视                 | 7.46   Mbps | 39%
112.237.16.225:7001       | 湖南卫视                 | 6.28   Mbps | 75%
112.237.16.225:7001       | CCTV13新闻             | 6.24   Mbps | 0%
112.255.253.148:9001      | 山东卫视                 | 2.37   Mbps | 14%
112.255.253.148:9001      | 浙江卫视                 | 1.45   Mbps | 100%
